,0
0,"0    0.0
Name: 872, dtype: float64"
1,"0    0.0
Name: 15, dtype: float64"
2,"0    0.0
Name: 823, dtype: float64"
3,"0    0.0
Name: 1509, dtype: float64"
4,1.0
5,"0    0.0
Name: 1592, dtype: float64"
6,"0    0.0
Name: 470, dtype: float64"
7,"0    0.0
Name: 144, dtype: float64"
8,"0    0.0
Name: 1644, dtype: float64"
9,"0    0.0
Name: 665, dtype: float64"
10,1.0
11,1.0
12,"0    0.0
Name: 1839, dtype: float64"
13,"0    0.0
Name: 769, dtype: float64"
14,1.0
15,1.0
16,"0    0.0
Name: 588, dtype: float64"
17,1.0
18,"0    0.0
Name: 1716, dtype: float64"
19,1.0
20,"0    0.0
Name: 1567, dtype: float64"
21,"0    0.0
Name: 1261, dtype: float64"
22,1.0
23,"0    0.0
Name: 415, dtype: float64"
24,"0    0.0
Name: 1288, dtype: float64"
25,"0    0.0
Name: 1335, dtype: float64"
26,1.0
27,1.0
28,1.0
29,1.0
30,"0    0.0
Name: 1460, dtype: float64"
31,"0    0.0
Name: 199, dtype: float64"
32,"0    0.0
Name: 1868, dtype: float64"
33,"0    0.0
Name: 564, dtype: float64"
34,"0    0.0
Name: 1741, dtype: float64"
35,1.0
36,"0    0.0
Name: 1437, dtype: float64"
37,1.0
38,"0    0.0
Name: 1816, dtype: float64"
39,"0    0.0
Name: 444, dtype: float64"
40,1.0
41,"0    0.0
Name: 1408, dtype: float64"
42,"0    0.0
Name: 2089, dtype: float64"
43,"0    0.0
Name: 249, dtype: float64"
44,1.0
45,"0    0.0
Name: 1182, dtype: float64"
46,"0    0.0
Name: 1790, dtype: float64"
47,"0    0.0
Name: 1915, dtype: float64"
48,"0    0.0
Name: 120, dtype: float64"
49,1.0
50,1.0
51,"0    0.0
Name: 617, dtype: float64"
52,1.0
53,"0    0.0
Name: 745, dtype: float64"
54,1.0
55,"0    0.0
Name: 845, dtype: float64"
56,1.0
57,1.0
58,"0    0.0
Name: 1539, dtype: float64"
59,"0    0.0
Name: 351, dtype: float64"
60,"0    0.0
Name: 1358, dtype: float64"
61,"0    0.0
Name: 2041, dtype: float64"
62,"0    0.0
Name: 964, dtype: float64"
63,1.0
64,1.0
65,1.0
66,"0    0.0
Name: 39, dtype: float64"
67,1.0
68,"0    0.0
Name: 1483, dtype: float64"
69,"0    0.0
Name: 1991, dtype: float64"
70,"0    0.0
Name: 61, dtype: float64"
71,1.0
72,1.0
73,"0    0.0
Name: 942, dtype: float64"
74,"0    0.0
Name: 1088, dtype: float64"
75,1.0
76,1.0
77,"0    0.0
Name: 544, dtype: float64"
78,"0    0.0
Name: 1939, dtype: float64"
79,"0    0.0
Name: 2067, dtype: float64"
80,"0    0.0
Name: 640, dtype: float64"
81,"0    0.0
Name: 224, dtype: float64"
82,"0    0.0
Name: 2015, dtype: float64"
83,1.0
84,"0    0.0
Name: 1068, dtype: float64"
85,1.0
86,"0    0.0
Name: 1694, dtype: float64"
87,"0    0.0
Name: 719, dtype: float64"
88,1.0
89,"0    0.0
Name: 270, dtype: float64"
90,1.0
91,"0    0.0
Name: 393, dtype: float64"
92,"0    0.0
Name: 1016, dtype: float64"
93,"0    0.0
Name: 373, dtype: float64"
94,"0    0.0
Name: 1963, dtype: float64"
95,"0    0.0
Name: 494, dtype: float64"
96,"0    0.0
Name: 693, dtype: float64"
97,1.0
98,"0    0.0
Name: 1211, dtype: float64"
99,1.0
100,1.0
101,"0    0.0
Name: 1622, dtype: float64"
102,1.0
103,"0    0.0
Name: 1671, dtype: float64"
104,"0    0.0
Name: 292, dtype: float64"
105,1.0
106,"0    0.0
Name: 1894, dtype: float64"
107,1.0
108,"0    0.0
Name: 1382, dtype: float64"
109,"0    0.0
Name: 173, dtype: float64"
110,"0    0.0
Name: 1765, dtype: float64"
111,"0    0.0
Name: 920, dtype: float64"
112,1.0
113,"0    0.0
Name: 524, dtype: float64"
114,"0    0.0
Name: 994, dtype: float64"
115,"0    0.0
Name: 1039, dtype: float64"
116,"0    0.0
Name: 1133, dtype: float64"
117,1.0
118,1.0
119,"0    0.0
Name: 322, dtype: float64"
120,"0    0.0
Name: 91, dtype: float64"
121,"0    1.0
Name: 1112, dtype: float64"
122,"0    0.0
Name: 1235, dtype: float64"
123,"0    0.0
Name: 1310, dtype: float64"
124,"0    0.0
Name: 900, dtype: float64"
125,1.0
126,"0    0.0
Name: 797, dtype: float64"
127,"0    0.0
Name: 1162, dtype: float64"
128,1.0
129,1.0
