,0
0,"0    0.0
Name: 1569, dtype: float64"
1,1.0
2,"0    0.0
Name: 1501, dtype: float64"
3,"0    0.0
Name: 35, dtype: float64"
4,"0    0.0
Name: 1523, dtype: float64"
5,1.0
6,1.0
7,1.0
8,1.0
9,"0    0.0
Name: 1028, dtype: float64"
10,"0    0.0
Name: 810, dtype: float64"
11,1.0
12,1.0
13,1.0
14,"0    0.0
Name: 318, dtype: float64"
15,"0    0.0
Name: 682, dtype: float64"
16,1.0
17,"0    0.0
Name: 728, dtype: float64"
18,"0    0.0
Name: 839, dtype: float64"
19,1.0
20,"0    0.0
Name: 1182, dtype: float64"
21,"0    0.0
Name: 12, dtype: float64"
22,1.0
23,"0    0.0
Name: 417, dtype: float64"
24,"0    0.0
Name: 446, dtype: float64"
25,"0    0.0
Name: 780, dtype: float64"
26,"0    0.0
Name: 1547, dtype: float64"
27,"0    0.0
Name: 372, dtype: float64"
28,1.0
29,"0    0.0
Name: 501, dtype: float64"
30,1.0
31,"0    0.0
Name: 205, dtype: float64"
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,"0    0.0
Name: 1589, dtype: float64"
39,1.0
40,"0    0.0
Name: 1643, dtype: float64"
41,1.0
42,1.0
43,1.0
44,1.0
45,"0    0.0
Name: 930, dtype: float64"
46,1.0
47,"0    0.0
Name: 57, dtype: float64"
48,"0    0.0
Name: 531, dtype: float64"
49,1.0
50,1.0
51,1.0
52,"0    0.0
Name: 1665, dtype: float64"
53,"0    0.0
Name: 583, dtype: float64"
54,"0    0.0
Name: 293, dtype: float64"
55,"0    0.0
Name: 957, dtype: float64"
56,"0    0.0
Name: 1224, dtype: float64"
57,1.0
58,1.0
59,"0    0.0
Name: 985, dtype: float64"
60,"0    1.0
Name: 1103, dtype: float64"
61,1.0
62,"0    0.0
Name: 1342, dtype: float64"
63,1.0
64,1.0
65,"0    0.0
Name: 706, dtype: float64"
66,"0    0.0
Name: 1271, dtype: float64"
67,"0    0.0
Name: 233, dtype: float64"
68,"0    0.0
Name: 635, dtype: float64"
69,"0    0.0
Name: 561, dtype: float64"
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,"0    0.0
Name: 1294, dtype: float64"
76,1.0
77,"0    0.0
Name: 1615, dtype: float64"
78,1.0
79,"0    0.0
Name: 1049, dtype: float64"
80,1.0
81,1.0
82,"0    0.0
Name: 1129, dtype: float64"
83,"0    0.0
Name: 1398, dtype: float64"
84,1.0
85,"0    0.0
Name: 886, dtype: float64"
86,"0    0.0
Name: 1370, dtype: float64"
87,1.0
88,"0    0.0
Name: 753, dtype: float64"
89,1.0
90,"0    0.0
Name: 263, dtype: float64"
91,"0    0.0
Name: 103, dtype: float64"
92,"0    0.0
Name: 1249, dtype: float64"
93,1.0
94,"0    0.0
Name: 180, dtype: float64"
95,1.0
96,1.0
97,"0    0.0
Name: 1420, dtype: float64"
98,1.0
99,"0    0.0
Name: 347, dtype: float64"
100,1.0
101,1.0
102,1.0
103,"0    0.0
Name: 1153, dtype: float64"
104,"0    0.0
Name: 1476, dtype: float64"
105,1.0
106,1.0
107,1.0
108,1.0
109,"0    1.0
Name: 611, dtype: float64"
110,1.0
111,"0    0.0
Name: 1078, dtype: float64"
112,1.0
113,"0    0.0
Name: 1204, dtype: float64"
114,1.0
115,1.0
116,"0    0.0
Name: 1006, dtype: float64"
117,"0    0.0
Name: 474, dtype: float64"
118,1.0
119,"0    0.0
Name: 859, dtype: float64"
120,"0    0.0
Name: 1450, dtype: float64"
121,"0    0.0
Name: 908, dtype: float64"
122,"0    0.0
Name: 658, dtype: float64"
123,1.0
124,1.0
125,1.0
126,"0    0.0
Name: 392, dtype: float64"
127,"0    0.0
Name: 83, dtype: float64"
128,1.0
129,"0    0.0
Name: 1316, dtype: float64"
130,1.0
131,"0    0.0
Name: 160, dtype: float64"
132,1.0
133,"0    0.0
Name: 130, dtype: float64"
