,0
0,"0    0.0
Name: 1629, dtype: float64"
1,"0    0.0
Name: 1710, dtype: float64"
2,"0    0.0
Name: 1160, dtype: float64"
3,"0    0.0
Name: 1884, dtype: float64"
4,"0    0.0
Name: 654, dtype: float64"
5,"0    0.0
Name: 1943, dtype: float64"
6,1.0
7,1.0
8,1.0
9,"0    0.0
Name: 846, dtype: float64"
10,1.0
11,1.0
12,"0    0.0
Name: 2086, dtype: float64"
13,"0    0.0
Name: 1805, dtype: float64"
14,1.0
15,"0    0.0
Name: 872, dtype: float64"
16,"0    0.0
Name: 2140, dtype: float64"
17,"0    0.0
Name: 2112, dtype: float64"
18,"0    0.0
Name: 1049, dtype: float64"
19,1.0
20,1.0
21,1.0
22,1.0
23,"0    0.0
Name: 713, dtype: float64"
24,"0    0.0
Name: 1313, dtype: float64"
25,"0    0.0
Name: 1135, dtype: float64"
26,"0    0.0
Name: 224, dtype: float64"
27,"0    0.0
Name: 1236, dtype: float64"
28,1.0
29,"0    0.0
Name: 824, dtype: float64"
30,1.0
31,"0    0.0
Name: 1069, dtype: float64"
32,"0    0.0
Name: 1827, dtype: float64"
33,"0    0.0
Name: 1547, dtype: float64"
34,"0    0.0
Name: 99, dtype: float64"
35,1.0
36,"0    0.0
Name: 128, dtype: float64"
37,1.0
38,"0    0.0
Name: 1363, dtype: float64"
39,1.0
40,"0    0.0
Name: 1211, dtype: float64"
41,"0    0.0
Name: 1655, dtype: float64"
42,1.0
43,1.0
44,"0    0.0
Name: 1970, dtype: float64"
45,1.0
46,"0    0.0
Name: 735, dtype: float64"
47,1.0
48,"0    0.0
Name: 1607, dtype: float64"
49,"0    0.0
Name: 1183, dtype: float64"
50,1.0
51,"0    0.0
Name: 2185, dtype: float64"
52,"0    0.0
Name: 1577, dtype: float64"
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,"0    0.0
Name: 1339, dtype: float64"
59,1.0
60,"0    0.0
Name: 2162, dtype: float64"
61,"0    0.0
Name: 1436, dtype: float64"
62,"0    0.0
Name: 45, dtype: float64"
63,1.0
64,"0    0.0
Name: 494, dtype: float64"
65,"0    0.0
Name: 568, dtype: float64"
66,"0    0.0
Name: 1519, dtype: float64"
67,"0    0.0
Name: 757, dtype: float64"
68,"0    1.0
Name: 684, dtype: float64"
69,1.0
70,1.0
71,1.0
72,1.0
73,"0    0.0
Name: 2017, dtype: float64"
74,1.0
75,"0    0.0
Name: 443, dtype: float64"
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,"0    0.0
Name: 1112, dtype: float64"
83,"0    0.0
Name: 1993, dtype: float64"
84,1.0
85,"0    0.0
Name: 520, dtype: float64"
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,"0    0.0
Name: 297, dtype: float64"
93,"0    0.0
Name: 803, dtype: float64"
94,1.0
95,"0    0.0
Name: 370, dtype: float64"
96,"0    1.0
Name: 1411, dtype: float64"
97,"0    0.0
Name: 1755, dtype: float64"
98,"0    0.0
Name: 250, dtype: float64"
99,1.0
100,"0    0.0
Name: 74, dtype: float64"
101,"0    0.0
Name: 1386, dtype: float64"
102,1.0
103,"0    0.0
Name: 1492, dtype: float64"
104,1.0
105,1.0
106,1.0
107,"0    0.0
Name: 2064, dtype: float64"
108,1.0
109,1.0
110,1.0
111,"0    0.0
Name: 176, dtype: float64"
112,"0    0.0
Name: 199, dtype: float64"
113,1.0
114,"0    0.0
Name: 344, dtype: float64"
115,1.0
116,1.0
117,"0    0.0
Name: 416, dtype: float64"
118,"0    0.0
Name: 1681, dtype: float64"
119,1.0
120,"0    0.0
Name: 540, dtype: float64"
121,"0    0.0
Name: 15, dtype: float64"
122,"0    0.0
Name: 274, dtype: float64"
123,1.0
124,"0    0.0
Name: 1913, dtype: float64"
125,"0    0.0
Name: 390, dtype: float64"
126,"0    0.0
Name: 1286, dtype: float64"
127,1.0
128,1.0
129,"0    0.0
Name: 1029, dtype: float64"
130,1.0
131,1.0
132,1.0
133,"0    0.0
Name: 955, dtype: float64"
134,1.0
135,1.0
136,"0    0.0
Name: 596, dtype: float64"
137,"0    0.0
Name: 1783, dtype: float64"
138,1.0
139,"0    0.0
Name: 783, dtype: float64"
140,"0    0.0
Name: 1854, dtype: float64"
141,1.0
142,"0    0.0
Name: 318, dtype: float64"
143,1.0
144,"0    0.0
Name: 2241, dtype: float64"
145,1.0
146,"0    0.0
Name: 2214, dtype: float64"
147,"0    0.0
Name: 626, dtype: float64"
148,"0    0.0
Name: 1090, dtype: float64"
149,1.0
150,"0    0.0
Name: 899, dtype: float64"
151,"0    0.0
Name: 1731, dtype: float64"
152,"0    0.0
Name: 982, dtype: float64"
153,1.0
154,"0    0.0
Name: 151, dtype: float64"
155,"0    0.0
Name: 1008, dtype: float64"
156,1.0
157,"0    0.0
Name: 925, dtype: float64"
158,1.0
159,"0    0.0
Name: 1260, dtype: float64"
160,"0    1.0
Name: 2267, dtype: float64"
161,1.0
162,1.0
163,1.0
164,"0    0.0
Name: 2044, dtype: float64"
165,"0    0.0
Name: 1464, dtype: float64"
166,"0    0.0
Name: 466, dtype: float64"
