,0
0,"0    0.0
Name: 431, dtype: float64"
1,"0    0.0
Name: 897, dtype: float64"
2,"0    0.0
Name: 296, dtype: float64"
3,"0    0.0
Name: 32, dtype: float64"
4,"0    0.0
Name: 404, dtype: float64"
5,1.0
6,"0    0.0
Name: 1482, dtype: float64"
7,1.0
8,1.0
9,1.0
10,"0    0.0
Name: 1628, dtype: float64"
11,"0    0.0
Name: 1784, dtype: float64"
12,1.0
13,1.0
14,"0    0.0
Name: 564, dtype: float64"
15,"0    0.0
Name: 12, dtype: float64"
16,"0    0.0
Name: 1041, dtype: float64"
17,"0    0.0
Name: 687, dtype: float64"
18,"0    0.0
Name: 758, dtype: float64"
19,"0    0.0
Name: 1423, dtype: float64"
20,"0    0.0
Name: 1369, dtype: float64"
21,"0    0.0
Name: 1090, dtype: float64"
22,"0    0.0
Name: 730, dtype: float64"
23,"0    1.0
Name: 1191, dtype: float64"
24,"0    0.0
Name: 100, dtype: float64"
25,1.0
26,1.0
27,"0    0.0
Name: 1453, dtype: float64"
28,"0    0.0
Name: 919, dtype: float64"
29,"0    0.0
Name: 1272, dtype: float64"
30,"0    0.0
Name: 835, dtype: float64"
31,"0    0.0
Name: 1601, dtype: float64"
32,1.0
33,"0    0.0
Name: 177, dtype: float64"
34,"0    0.0
Name: 592, dtype: float64"
35,"0    0.0
Name: 1810, dtype: float64"
36,1.0
37,1.0
38,"0    0.0
Name: 996, dtype: float64"
39,"0    0.0
Name: 52, dtype: float64"
40,"0    0.0
Name: 1554, dtype: float64"
41,"0    0.0
Name: 1508, dtype: float64"
42,"0    0.0
Name: 807, dtype: float64"
43,"0    0.0
Name: 1394, dtype: float64"
44,"0    0.0
Name: 1070, dtype: float64"
45,"0    0.0
Name: 345, dtype: float64"
46,"0    0.0
Name: 1142, dtype: float64"
47,1.0
48,"0    0.0
Name: 155, dtype: float64"
49,"0    0.0
Name: 76, dtype: float64"
50,"0    0.0
Name: 461, dtype: float64"
51,1.0
52,"0    0.0
Name: 1759, dtype: float64"
53,1.0
54,1.0
55,"0    0.0
Name: 1534, dtype: float64"
56,"0    0.0
Name: 1733, dtype: float64"
57,"0    0.0
Name: 855, dtype: float64"
58,1.0
59,"0    0.0
Name: 1341, dtype: float64"
60,1.0
61,1.0
62,"0    0.0
Name: 245, dtype: float64"
63,1.0
64,"0    0.0
Name: 1321, dtype: float64"
65,"0    0.0
Name: 374, dtype: float64"
66,"0    0.0
Name: 1221, dtype: float64"
67,"0    0.0
Name: 663, dtype: float64"
68,"0    0.0
Name: 946, dtype: float64"
69,"0    0.0
Name: 708, dtype: float64"
70,1.0
71,"0    0.0
Name: 223, dtype: float64"
72,1.0
73,"0    0.0
Name: 975, dtype: float64"
74,"0    0.0
Name: 323, dtype: float64"
75,1.0
76,"0    0.0
Name: 784, dtype: float64"
77,1.0
78,1.0
79,"0    0.0
Name: 615, dtype: float64"
80,1.0
81,"0    0.0
Name: 1576, dtype: float64"
82,"0    0.0
Name: 1682, dtype: float64"
83,"0    0.0
Name: 1704, dtype: float64"
84,"0    0.0
Name: 1114, dtype: float64"
85,"0    0.0
Name: 876, dtype: float64"
86,"0    0.0
Name: 129, dtype: float64"
87,"0    0.0
Name: 1652, dtype: float64"
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,"0    0.0
Name: 510, dtype: float64"
94,1.0
95,1.0
96,1.0
97,"0    0.0
Name: 1169, dtype: float64"
98,"0    0.0
Name: 534, dtype: float64"
99,"0    0.0
Name: 1294, dtype: float64"
100,1.0
101,1.0
102,"0    0.0
Name: 274, dtype: float64"
103,"0    0.0
Name: 636, dtype: float64"
104,1.0
105,"0    0.0
Name: 201, dtype: float64"
106,1.0
107,"0    0.0
Name: 1017, dtype: float64"
108,"0    0.0
Name: 482, dtype: float64"
109,"0    0.0
Name: 1242, dtype: float64"
