,0
0,"0    0.0
Name: 41, dtype: float64"
1,"0    0.0
Name: 1332, dtype: float64"
2,"0    1.0
Name: 156, dtype: float64"
3,"0    0.0
Name: 311, dtype: float64"
4,"0    0.0
Name: 1220, dtype: float64"
5,"0    0.0
Name: 820, dtype: float64"
6,1.0
7,"0    0.0
Name: 530, dtype: float64"
8,"0    0.0
Name: 211, dtype: float64"
9,1.0
10,"0    0.0
Name: 509, dtype: float64"
11,"0    0.0
Name: 995, dtype: float64"
12,"0    0.0
Name: 895, dtype: float64"
13,1.0
14,"0    0.0
Name: 623, dtype: float64"
15,"0    0.0
Name: 869, dtype: float64"
16,"0    0.0
Name: 723, dtype: float64"
17,"0    0.0
Name: 1114, dtype: float64"
18,"0    0.0
Name: 1062, dtype: float64"
19,"0    0.0
Name: 941, dtype: float64"
20,"0    0.0
Name: 675, dtype: float64"
21,"0    0.0
Name: 62, dtype: float64"
22,"0    0.0
Name: 769, dtype: float64"
23,"0    0.0
Name: 799, dtype: float64"
24,"0    0.0
Name: 454, dtype: float64"
25,1.0
26,"0    0.0
Name: 1144, dtype: float64"
27,"0    0.0
Name: 1088, dtype: float64"
28,"0    0.0
Name: 254, dtype: float64"
29,1.0
30,"0    0.0
Name: 233, dtype: float64"
31,1.0
32,1.0
33,"0    0.0
Name: 1400, dtype: float64"
34,"0    0.0
Name: 696, dtype: float64"
35,1.0
36,"0    0.0
Name: 1192, dtype: float64"
37,"0    0.0
Name: 597, dtype: float64"
38,"0    0.0
Name: 335, dtype: float64"
39,"0    0.0
Name: 1423, dtype: float64"
40,"0    0.0
Name: 407, dtype: float64"
41,"0    0.0
Name: 550, dtype: float64"
42,1.0
43,1.0
44,1.0
45,"0    0.0
Name: 844, dtype: float64"
46,"0    0.0
Name: 1278, dtype: float64"
47,"0    0.0
Name: 186, dtype: float64"
48,"0    0.0
Name: 1377, dtype: float64"
49,1.0
50,1.0
51,"0    0.0
Name: 1022, dtype: float64"
52,1.0
53,"0    0.0
Name: 917, dtype: float64"
54,"0    0.0
Name: 971, dtype: float64"
55,1.0
56,1.0
57,"0    0.0
Name: 748, dtype: float64"
58,1.0
59,"0    0.0
Name: 429, dtype: float64"
60,1.0
61,"0    0.0
Name: 132, dtype: float64"
62,"0    0.0
Name: 88, dtype: float64"
63,"0    0.0
Name: 1165, dtype: float64"
64,"0    0.0
Name: 652, dtype: float64"
65,1.0
66,"0    0.0
Name: 1042, dtype: float64"
67,1.0
68,"0    0.0
Name: 1308, dtype: float64"
69,"0    1.0
Name: 1356, dtype: float64"
70,1.0
71,1.0
72,"0    0.0
Name: 365, dtype: float64"
73,1.0
74,"0    0.0
Name: 284, dtype: float64"
75,1.0
76,1.0
77,1.0
78,"0    0.0
Name: 386, dtype: float64"
79,"0    0.0
Name: 484, dtype: float64"
80,"0    0.0
Name: 1248, dtype: float64"
81,1.0
82,1.0
83,1.0
84,"0    0.0
Name: 576, dtype: float64"
85,1.0
86,"0    0.0
Name: 13, dtype: float64"
87,"0    0.0
Name: 110, dtype: float64"
