,0
0,"0    0.0
Name: 1448, dtype: float64"
1,1.0
2,1.0
3,"0    0.0
Name: 2072, dtype: float64"
4,"0    0.0
Name: 806, dtype: float64"
5,"0    0.0
Name: 1220, dtype: float64"
6,1.0
7,"0    0.0
Name: 1840, dtype: float64"
8,"0    0.0
Name: 1148, dtype: float64"
9,"0    1.0
Name: 1788, dtype: float64"
10,1.0
11,"0    0.0
Name: 1817, dtype: float64"
12,1.0
13,"0    0.0
Name: 1171, dtype: float64"
14,1.0
15,1.0
16,1.0
17,"0    0.0
Name: 1077, dtype: float64"
18,1.0
19,1.0
20,"0    0.0
Name: 427, dtype: float64"
21,"0    0.0
Name: 260, dtype: float64"
22,"0    0.0
Name: 776, dtype: float64"
23,"0    0.0
Name: 501, dtype: float64"
24,1.0
25,"0    0.0
Name: 1648, dtype: float64"
26,"0    0.0
Name: 1248, dtype: float64"
27,1.0
28,1.0
29,1.0
30,"0    0.0
Name: 79, dtype: float64"
31,1.0
32,"0    0.0
Name: 379, dtype: float64"
33,1.0
34,"0    0.0
Name: 628, dtype: float64"
35,"0    0.0
Name: 473, dtype: float64"
36,1.0
37,"0    0.0
Name: 1274, dtype: float64"
38,"0    0.0
Name: 959, dtype: float64"
39,"0    0.0
Name: 673, dtype: float64"
40,1.0
41,"0    0.0
Name: 1300, dtype: float64"
42,"0    0.0
Name: 1575, dtype: float64"
43,"0    0.0
Name: 1693, dtype: float64"
44,1.0
45,"0    0.0
Name: 980, dtype: float64"
46,"0    0.0
Name: 1003, dtype: float64"
47,"0    0.0
Name: 1972, dtype: float64"
48,"0    0.0
Name: 1051, dtype: float64"
49,"0    0.0
Name: 1623, dtype: float64"
50,"0    0.0
Name: 1477, dtype: float64"
51,1.0
52,"0    0.0
Name: 604, dtype: float64"
53,"0    0.0
Name: 2048, dtype: float64"
54,1.0
55,"0    0.0
Name: 939, dtype: float64"
56,1.0
57,"0    0.0
Name: 1029, dtype: float64"
58,"0    0.0
Name: 2025, dtype: float64"
59,1.0
60,"0    0.0
Name: 726, dtype: float64"
61,1.0
62,1.0
63,1.0
64,1.0
65,"0    0.0
Name: 701, dtype: float64"
66,"0    0.0
Name: 1321, dtype: float64"
67,1.0
68,1.0
69,"0    0.0
Name: 1527, dtype: float64"
70,1.0
71,1.0
72,"0    0.0
Name: 356, dtype: float64"
73,"0    0.0
Name: 1097, dtype: float64"
74,1.0
75,"0    0.0
Name: 1598, dtype: float64"
76,"0    0.0
Name: 449, dtype: float64"
77,1.0
78,"0    0.0
Name: 1898, dtype: float64"
79,"0    0.0
Name: 1552, dtype: float64"
80,"0    0.0
Name: 1670, dtype: float64"
81,1.0
82,1.0
83,"0    0.0
Name: 1393, dtype: float64"
84,"0    0.0
Name: 884, dtype: float64"
85,"0    0.0
Name: 184, dtype: float64"
86,"0    0.0
Name: 38, dtype: float64"
87,"0    0.0
Name: 1503, dtype: float64"
88,"0    0.0
Name: 1198, dtype: float64"
89,"0    0.0
Name: 752, dtype: float64"
90,1.0
91,"0    0.0
Name: 155, dtype: float64"
92,1.0
93,"0    0.0
Name: 332, dtype: float64"
94,"0    0.0
Name: 231, dtype: float64"
95,"0    0.0
Name: 108, dtype: float64"
96,1.0
97,1.0
98,1.0
99,"0    0.0
Name: 128, dtype: float64"
100,"0    0.0
Name: 1768, dtype: float64"
101,1.0
102,1.0
103,1.0
104,"0    0.0
Name: 1949, dtype: float64"
105,"0    0.0
Name: 1996, dtype: float64"
106,"0    0.0
Name: 1925, dtype: float64"
107,1.0
108,1.0
109,"0    0.0
Name: 400, dtype: float64"
110,"0    0.0
Name: 856, dtype: float64"
111,1.0
112,"0    0.0
Name: 209, dtype: float64"
113,1.0
114,"0    0.0
Name: 305, dtype: float64"
115,"0    0.0
Name: 1342, dtype: float64"
116,1.0
117,1.0
118,"0    0.0
Name: 1868, dtype: float64"
119,1.0
120,1.0
121,"0    0.0
Name: 555, dtype: float64"
122,"0    0.0
Name: 1423, dtype: float64"
123,1.0
124,1.0
125,1.0
126,"0    0.0
Name: 530, dtype: float64"
127,1.0
128,"0    0.0
Name: 15, dtype: float64"
129,1.0
130,"0    1.0
Name: 1370, dtype: float64"
131,"0    0.0
Name: 834, dtype: float64"
132,"0    0.0
Name: 1126, dtype: float64"
133,1.0
134,"0    0.0
Name: 1744, dtype: float64"
135,"0    0.0
Name: 283, dtype: float64"
136,"0    0.0
Name: 652, dtype: float64"
137,1.0
138,1.0
139,"0    0.0
Name: 58, dtype: float64"
140,1.0
141,"0    0.0
Name: 912, dtype: float64"
142,1.0
143,"0    0.0
Name: 576, dtype: float64"
144,1.0
145,"0    0.0
Name: 1723, dtype: float64"
