,0
0,"0    0.0
Name: 890, dtype: float64"
1,"0    0.0
Name: 696, dtype: float64"
2,1.0
3,"0    0.0
Name: 920, dtype: float64"
4,1.0
5,"0    0.0
Name: 1043, dtype: float64"
6,"0    0.0
Name: 789, dtype: float64"
7,1.0
8,1.0
9,1.0
10,"0    0.0
Name: 617, dtype: float64"
11,"0    0.0
Name: 138, dtype: float64"
12,1.0
13,1.0
14,"0    0.0
Name: 437, dtype: float64"
15,"0    0.0
Name: 65, dtype: float64"
16,"0    0.0
Name: 1016, dtype: float64"
17,"0    0.0
Name: 221, dtype: float64"
18,"0    0.0
Name: 566, dtype: float64"
19,"0    0.0
Name: 166, dtype: float64"
20,1.0
21,"0    0.0
Name: 536, dtype: float64"
22,1.0
23,"0    0.0
Name: 352, dtype: float64"
24,"0    0.0
Name: 508, dtype: float64"
25,1.0
26,"0    0.0
Name: 196, dtype: float64"
27,1.0
28,1.0
29,"0    0.0
Name: 640, dtype: float64"
30,"0    0.0
Name: 395, dtype: float64"
31,"0    0.0
Name: 88, dtype: float64"
32,"0    0.0
Name: 764, dtype: float64"
33,"0    0.0
Name: 818, dtype: float64"
34,1.0
35,1.0
36,1.0
37,"0    0.0
Name: 416, dtype: float64"
38,"0    0.0
Name: 996, dtype: float64"
39,"0    0.0
Name: 329, dtype: float64"
40,1.0
41,"0    0.0
Name: 844, dtype: float64"
42,"0    0.0
Name: 1069, dtype: float64"
43,"0    0.0
Name: 279, dtype: float64"
44,1.0
45,1.0
46,1.0
47,"0    0.0
Name: 41, dtype: float64"
48,1.0
49,"0    0.0
Name: 869, dtype: float64"
50,"0    0.0
Name: 946, dtype: float64"
51,1.0
52,"0    0.0
Name: 299, dtype: float64"
53,"0    0.0
Name: 744, dtype: float64"
54,"0    1.0
Name: 251, dtype: float64"
55,"0    0.0
Name: 718, dtype: float64"
56,"0    0.0
Name: 595, dtype: float64"
57,"0    0.0
Name: 14, dtype: float64"
58,"0    0.0
Name: 482, dtype: float64"
59,"0    0.0
Name: 372, dtype: float64"
60,"0    0.0
Name: 1092, dtype: float64"
61,1.0
62,"0    0.0
Name: 669, dtype: float64"
63,"0    0.0
Name: 459, dtype: float64"
64,1.0
65,"0    0.0
Name: 117, dtype: float64"
66,"0    0.0
Name: 975, dtype: float64"
