,0
0,"0    0.0
Name: 1063, dtype: float64"
1,1.0
2,1.0
3,"0    0.0
Name: 687, dtype: float64"
4,1.0
5,"0    0.0
Name: 549, dtype: float64"
6,1.0
7,"0    0.0
Name: 1534, dtype: float64"
8,1.0
9,"0    0.0
Name: 263, dtype: float64"
10,1.0
11,1.0
12,"0    0.0
Name: 1581, dtype: float64"
13,1.0
14,1.0
15,1.0
16,"0    0.0
Name: 1554, dtype: float64"
17,"0    0.0
Name: 793, dtype: float64"
18,1.0
19,1.0
20,"0    0.0
Name: 1605, dtype: float64"
21,1.0
22,1.0
23,1.0
24,"0    0.0
Name: 1433, dtype: float64"
25,1.0
26,"0    0.0
Name: 1505, dtype: float64"
27,1.0
28,1.0
29,"0    0.0
Name: 380, dtype: float64"
30,"0    0.0
Name: 332, dtype: float64"
31,"0    0.0
Name: 1353, dtype: float64"
32,"0    0.0
Name: 421, dtype: float64"
33,"0    0.0
Name: 1227, dtype: float64"
34,"0    0.0
Name: 1302, dtype: float64"
35,"0    0.0
Name: 115, dtype: float64"
36,"0    0.0
Name: 191, dtype: float64"
37,"0    0.0
Name: 1408, dtype: float64"
38,"0    0.0
Name: 285, dtype: float64"
39,1.0
40,"0    0.0
Name: 521, dtype: float64"
41,"0    0.0
Name: 657, dtype: float64"
42,1.0
43,"0    0.0
Name: 871, dtype: float64"
44,"0    0.0
Name: 138, dtype: float64"
45,1.0
46,"0    0.0
Name: 1647, dtype: float64"
47,"0    1.0
Name: 605, dtype: float64"
48,"0    0.0
Name: 967, dtype: float64"
49,1.0
50,1.0
51,1.0
52,1.0
53,"0    0.0
Name: 1455, dtype: float64"
54,"0    0.0
Name: 1627, dtype: float64"
55,"0    0.0
Name: 162, dtype: float64"
56,"0    0.0
Name: 1379, dtype: float64"
57,1.0
58,"0    0.0
Name: 1009, dtype: float64"
59,1.0
60,"0    0.0
Name: 1039, dtype: float64"
61,"0    0.0
Name: 1484, dtype: float64"
62,"0    0.0
Name: 468, dtype: float64"
63,1.0
64,"0    0.0
Name: 401, dtype: float64"
65,"0    0.0
Name: 355, dtype: float64"
66,"0    0.0
Name: 1181, dtype: float64"
67,1.0
68,"0    0.0
Name: 1201, dtype: float64"
69,"0    0.0
Name: 898, dtype: float64"
70,"0    0.0
Name: 221, dtype: float64"
71,1.0
72,"0    0.0
Name: 841, dtype: float64"
73,"0    0.0
Name: 1156, dtype: float64"
74,"0    0.0
Name: 1084, dtype: float64"
75,"0    0.0
Name: 770, dtype: float64"
76,1.0
77,"0    0.0
Name: 63, dtype: float64"
78,1.0
79,1.0
80,"0    1.0
Name: 988, dtype: float64"
81,"0    0.0
Name: 14, dtype: float64"
82,"0    0.0
Name: 310, dtype: float64"
83,1.0
84,"0    0.0
Name: 947, dtype: float64"
85,"0    0.0
Name: 1106, dtype: float64"
86,1.0
87,"0    0.0
Name: 740, dtype: float64"
88,"0    0.0
Name: 1330, dtype: float64"
89,"0    0.0
Name: 1669, dtype: float64"
90,"0    0.0
Name: 242, dtype: float64"
91,"0    0.0
Name: 442, dtype: float64"
92,"0    0.0
Name: 710, dtype: float64"
93,"0    0.0
Name: 925, dtype: float64"
94,"0    0.0
Name: 630, dtype: float64"
95,"0    0.0
Name: 1131, dtype: float64"
96,"0    0.0
Name: 40, dtype: float64"
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,"0    0.0
Name: 575, dtype: float64"
105,"0    0.0
Name: 493, dtype: float64"
106,"0    0.0
Name: 821, dtype: float64"
107,"0    0.0
Name: 1282, dtype: float64"
108,"0    0.0
Name: 93, dtype: float64"
109,1.0
110,"0    1.0
Name: 1254, dtype: float64"
111,1.0
