,0
0,"0    1.0
Name: 895, dtype: float64"
1,"0    0.0
Name: 1185, dtype: float64"
2,1.0
3,1.0
4,"0    0.0
Name: 396, dtype: float64"
5,"0    0.0
Name: 1091, dtype: float64"
6,1.0
7,"0    0.0
Name: 1409, dtype: float64"
8,1.0
9,"0    0.0
Name: 659, dtype: float64"
10,1.0
11,"0    0.0
Name: 1623, dtype: float64"
12,"0    0.0
Name: 1387, dtype: float64"
13,1.0
14,"0    0.0
Name: 629, dtype: float64"
15,"0    0.0
Name: 786, dtype: float64"
16,"0    1.0
Name: 1748, dtype: float64"
17,"0    0.0
Name: 1062, dtype: float64"
18,"0    0.0
Name: 1039, dtype: float64"
19,1.0
20,1.0
21,"0    0.0
Name: 923, dtype: float64"
22,1.0
23,1.0
24,1.0
25,1.0
26,"0    0.0
Name: 1849, dtype: float64"
27,"0    0.0
Name: 839, dtype: float64"
28,"0    0.0
Name: 2118, dtype: float64"
29,1.0
30,"0    0.0
Name: 419, dtype: float64"
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,"0    0.0
Name: 1455, dtype: float64"
37,1.0
38,1.0
39,1.0
40,1.0
41,"0    0.0
Name: 1431, dtype: float64"
42,1.0
43,"0    0.0
Name: 1967, dtype: float64"
44,"0    0.0
Name: 1308, dtype: float64"
45,"0    0.0
Name: 759, dtype: float64"
46,"0    0.0
Name: 1890, dtype: float64"
47,1.0
48,"0    0.0
Name: 525, dtype: float64"
49,"0    0.0
Name: 1531, dtype: float64"
50,"0    0.0
Name: 732, dtype: float64"
51,"0    0.0
Name: 165, dtype: float64"
52,"0    0.0
Name: 86, dtype: float64"
53,1.0
54,"0    0.0
Name: 2071, dtype: float64"
55,"0    0.0
Name: 1112, dtype: float64"
56,"0    0.0
Name: 1476, dtype: float64"
57,"0    0.0
Name: 1800, dtype: float64"
58,1.0
59,1.0
60,"0    0.0
Name: 1773, dtype: float64"
61,1.0
62,"0    0.0
Name: 323, dtype: float64"
63,1.0
64,"0    0.0
Name: 108, dtype: float64"
65,1.0
66,1.0
67,1.0
68,"0    0.0
Name: 137, dtype: float64"
69,"0    0.0
Name: 213, dtype: float64"
70,"0    0.0
Name: 475, dtype: float64"
71,"0    1.0
Name: 1164, dtype: float64"
72,1.0
73,1.0
74,"0    0.0
Name: 1718, dtype: float64"
75,"0    0.0
Name: 1014, dtype: float64"
76,1.0
77,1.0
78,1.0
79,"0    0.0
Name: 42, dtype: float64"
80,1.0
81,"0    0.0
Name: 2023, dtype: float64"
82,"0    0.0
Name: 1501, dtype: float64"
83,"0    0.0
Name: 17, dtype: float64"
84,"0    0.0
Name: 1826, dtype: float64"
85,1.0
86,1.0
87,"0    0.0
Name: 711, dtype: float64"
88,1.0
89,1.0
90,1.0
91,"0    0.0
Name: 1870, dtype: float64"
92,"0    0.0
Name: 1601, dtype: float64"
93,"0    0.0
Name: 950, dtype: float64"
94,"0    0.0
Name: 990, dtype: float64"
95,1.0
96,1.0
97,"0    0.0
Name: 1255, dtype: float64"
98,1.0
99,"0    0.0
Name: 239, dtype: float64"
100,1.0
101,1.0
102,"0    0.0
Name: 266, dtype: float64"
103,1.0
104,1.0
105,1.0
106,1.0
107,"0    0.0
Name: 1692, dtype: float64"
108,"0    0.0
Name: 193, dtype: float64"
109,1.0
110,"0    0.0
Name: 609, dtype: float64"
111,1.0
112,"0    0.0
Name: 1556, dtype: float64"
113,1.0
114,"0    0.0
Name: 449, dtype: float64"
115,"0    0.0
Name: 682, dtype: float64"
116,1.0
117,"0    0.0
Name: 1943, dtype: float64"
118,1.0
119,1.0
120,1.0
121,"0    0.0
Name: 1358, dtype: float64"
122,"0    0.0
Name: 1278, dtype: float64"
123,"0    1.0
Name: 1214, dtype: float64"
124,"0    0.0
Name: 1234, dtype: float64"
125,"0    0.0
Name: 1142, dtype: float64"
126,1.0
127,1.0
128,1.0
129,1.0
130,"0    0.0
Name: 579, dtype: float64"
131,"0    0.0
Name: 1646, dtype: float64"
132,"0    0.0
Name: 1919, dtype: float64"
133,1.0
134,1.0
135,"0    0.0
Name: 346, dtype: float64"
136,1.0
137,"0    0.0
Name: 1328, dtype: float64"
138,1.0
139,"0    0.0
Name: 367, dtype: float64"
140,1.0
141,"0    0.0
Name: 295, dtype: float64"
142,1.0
143,1.0
144,"0    0.0
Name: 1579, dtype: float64"
145,"0    0.0
Name: 64, dtype: float64"
146,1.0
147,"0    0.0
Name: 868, dtype: float64"
148,"0    0.0
Name: 552, dtype: float64"
149,1.0
150,"0    0.0
Name: 2096, dtype: float64"
151,1.0
152,"0    0.0
Name: 2050, dtype: float64"
153,"0    0.0
Name: 500, dtype: float64"
154,"0    0.0
Name: 970, dtype: float64"
155,"0    0.0
Name: 813, dtype: float64"
156,1.0
157,"0    0.0
Name: 1997, dtype: float64"
158,"0    0.0
Name: 1668, dtype: float64"
