,0
0,"0    0.0
Name: 177, dtype: float64"
1,1.0
2,"0    0.0
Name: 295, dtype: float64"
3,"0    0.0
Name: 343, dtype: float64"
4,1.0
5,"0    0.0
Name: 64, dtype: float64"
6,"0    0.0
Name: 760, dtype: float64"
7,1.0
8,1.0
9,"0    0.0
Name: 943, dtype: float64"
10,"0    0.0
Name: 15, dtype: float64"
11,"0    0.0
Name: 111, dtype: float64"
12,1.0
13,"0    0.0
Name: 636, dtype: float64"
14,1.0
15,"0    0.0
Name: 665, dtype: float64"
16,"0    0.0
Name: 808, dtype: float64"
17,"0    0.0
Name: 560, dtype: float64"
18,"0    0.0
Name: 227, dtype: float64"
19,"0    0.0
Name: 393, dtype: float64"
20,"0    0.0
Name: 131, dtype: float64"
21,1.0
22,"0    0.0
Name: 201, dtype: float64"
23,"0    0.0
Name: 273, dtype: float64"
24,"0    0.0
Name: 36, dtype: float64"
25,"0    0.0
Name: 248, dtype: float64"
26,"0    0.0
Name: 590, dtype: float64"
27,"0    0.0
Name: 323, dtype: float64"
28,"0    0.0
Name: 420, dtype: float64"
29,1.0
30,"0    0.0
Name: 685, dtype: float64"
31,"0    0.0
Name: 915, dtype: float64"
32,"0    0.0
Name: 888, dtype: float64"
33,"0    1.0
Name: 504, dtype: float64"
34,"0    0.0
Name: 858, dtype: float64"
35,1.0
36,1.0
37,"0    0.0
Name: 788, dtype: float64"
38,1.0
39,"0    0.0
Name: 156, dtype: float64"
40,"0    0.0
Name: 84, dtype: float64"
41,1.0
42,"0    0.0
Name: 474, dtype: float64"
43,"0    0.0
Name: 616, dtype: float64"
44,"0    0.0
Name: 730, dtype: float64"
45,1.0
46,1.0
47,"0    0.0
Name: 530, dtype: float64"
48,1.0
49,"0    0.0
Name: 828, dtype: float64"
50,"0    0.0
Name: 447, dtype: float64"
51,1.0
52,1.0
53,"0    0.0
Name: 706, dtype: float64"
54,"0    0.0
Name: 371, dtype: float64"
55,1.0
56,1.0
57,1.0
