,0
0,"0    0.0
Name: 19, dtype: float64"
1,"0    0.0
Name: 128, dtype: float64"
2,1.0
3,"0    0.0
Name: 995, dtype: float64"
4,"0    0.0
Name: 435, dtype: float64"
5,1.0
6,1.0
7,1.0
8,"0    0.0
Name: 770, dtype: float64"
9,1.0
10,"0    0.0
Name: 816, dtype: float64"
11,"0    0.0
Name: 583, dtype: float64"
12,1.0
13,"0    0.0
Name: 508, dtype: float64"
14,"0    0.0
Name: 630, dtype: float64"
15,"0    0.0
Name: 687, dtype: float64"
16,1.0
17,"0    0.0
Name: 716, dtype: float64"
18,1.0
19,"0    0.0
Name: 205, dtype: float64"
20,"0    0.0
Name: 311, dtype: float64"
21,"0    0.0
Name: 71, dtype: float64"
22,"0    0.0
Name: 840, dtype: float64"
23,1.0
24,"0    1.0
Name: 791, dtype: float64"
25,"0    0.0
Name: 385, dtype: float64"
26,"0    0.0
Name: 407, dtype: float64"
27,"0    0.0
Name: 606, dtype: float64"
28,1.0
29,1.0
30,"0    1.0
Name: 965, dtype: float64"
31,1.0
32,"0    0.0
Name: 660, dtype: float64"
33,1.0
34,"0    0.0
Name: 485, dtype: float64"
35,"0    0.0
Name: 290, dtype: float64"
36,"0    0.0
Name: 888, dtype: float64"
37,"0    0.0
Name: 917, dtype: float64"
38,"0    0.0
Name: 101, dtype: float64"
39,1.0
40,"0    0.0
Name: 233, dtype: float64"
41,1.0
42,"0    0.0
Name: 942, dtype: float64"
43,"0    1.0
Name: 531, dtype: float64"
44,1.0
45,1.0
46,"0    0.0
Name: 1044, dtype: float64"
47,1.0
48,"0    0.0
Name: 455, dtype: float64"
49,"0    0.0
Name: 1022, dtype: float64"
50,1.0
51,"0    0.0
Name: 1069, dtype: float64"
52,"0    0.0
Name: 260, dtype: float64"
53,"0    0.0
Name: 743, dtype: float64"
54,1.0
55,"0    0.0
Name: 359, dtype: float64"
56,"0    0.0
Name: 150, dtype: float64"
57,"0    1.0
Name: 177, dtype: float64"
58,"0    0.0
Name: 41, dtype: float64"
59,"0    0.0
Name: 868, dtype: float64"
60,"0    0.0
Name: 556, dtype: float64"
61,1.0
62,"0    0.0
Name: 333, dtype: float64"
