,0
0,"0    0.0
Name: 322, dtype: float64"
1,"0    0.0
Name: 97, dtype: float64"
2,"0    0.0
Name: 1771, dtype: float64"
3,1.0
4,1.0
5,1.0
6,1.0
7,"0    0.0
Name: 1108, dtype: float64"
8,"0    0.0
Name: 367, dtype: float64"
9,1.0
10,1.0
11,"0    0.0
Name: 1265, dtype: float64"
12,"0    0.0
Name: 1007, dtype: float64"
13,"0    0.0
Name: 832, dtype: float64"
14,"0    0.0
Name: 725, dtype: float64"
15,1.0
16,"0    0.0
Name: 19, dtype: float64"
17,"0    0.0
Name: 544, dtype: float64"
18,"0    0.0
Name: 1607, dtype: float64"
19,1.0
20,1.0
21,"0    0.0
Name: 615, dtype: float64"
22,1.0
23,"0    0.0
Name: 594, dtype: float64"
24,"0    0.0
Name: 1749, dtype: float64"
25,"0    0.0
Name: 1184, dtype: float64"
26,1.0
27,"0    0.0
Name: 1030, dtype: float64"
28,1.0
29,"0    0.0
Name: 1159, dtype: float64"
30,1.0
31,"0    0.0
Name: 810, dtype: float64"
32,1.0
33,"0    0.0
Name: 884, dtype: float64"
34,1.0
35,"0    0.0
Name: 1392, dtype: float64"
36,"0    0.0
Name: 68, dtype: float64"
37,"0    0.0
Name: 1709, dtype: float64"
38,1.0
39,1.0
40,"0    0.0
Name: 1524, dtype: float64"
41,"0    0.0
Name: 422, dtype: float64"
42,"0    0.0
Name: 500, dtype: float64"
43,"0    0.0
Name: 1238, dtype: float64"
44,1.0
45,1.0
46,"0    0.0
Name: 754, dtype: float64"
47,"0    0.0
Name: 393, dtype: float64"
48,1.0
49,"0    0.0
Name: 1060, dtype: float64"
50,"0    0.0
Name: 673, dtype: float64"
51,1.0
52,"0    0.0
Name: 1210, dtype: float64"
53,1.0
54,"0    0.0
Name: 122, dtype: float64"
55,"0    0.0
Name: 1729, dtype: float64"
56,"0    0.0
Name: 201, dtype: float64"
57,"0    0.0
Name: 347, dtype: float64"
58,"0    0.0
Name: 910, dtype: float64"
59,1.0
60,1.0
61,"0    0.0
Name: 956, dtype: float64"
62,"0    0.0
Name: 1418, dtype: float64"
63,1.0
64,"0    0.0
Name: 1444, dtype: float64"
65,"0    0.0
Name: 1654, dtype: float64"
66,"0    0.0
Name: 574, dtype: float64"
67,"0    0.0
Name: 931, dtype: float64"
68,1.0
69,1.0
70,1.0
71,"0    0.0
Name: 1578, dtype: float64"
72,"0    0.0
Name: 861, dtype: float64"
73,"0    0.0
Name: 451, dtype: float64"
74,"0    0.0
Name: 302, dtype: float64"
75,"0    0.0
Name: 979, dtype: float64"
76,"0    0.0
Name: 174, dtype: float64"
77,1.0
78,"0    0.0
Name: 1371, dtype: float64"
79,1.0
80,1.0
81,1.0
82,1.0
83,"0    0.0
Name: 474, dtype: float64"
84,1.0
85,1.0
86,"0    0.0
Name: 1347, dtype: float64"
87,1.0
88,"0    0.0
Name: 1504, dtype: float64"
89,"0    0.0
Name: 523, dtype: float64"
90,"0    0.0
Name: 1322, dtype: float64"
91,"0    0.0
Name: 1629, dtype: float64"
92,"0    0.0
Name: 1134, dtype: float64"
93,"0    0.0
Name: 1681, dtype: float64"
94,"0    0.0
Name: 229, dtype: float64"
95,"0    0.0
Name: 1084, dtype: float64"
96,"0    0.0
Name: 1295, dtype: float64"
97,"0    0.0
Name: 259, dtype: float64"
98,"0    0.0
Name: 1474, dtype: float64"
99,"0    0.0
Name: 282, dtype: float64"
100,"0    0.0
Name: 643, dtype: float64"
101,"0    0.0
Name: 1554, dtype: float64"
102,"0    0.0
Name: 46, dtype: float64"
103,"0    0.0
Name: 697, dtype: float64"
104,"0    0.0
Name: 152, dtype: float64"
105,1.0
106,"0    0.0
Name: 784, dtype: float64"
107,1.0
