,0
0,"0    0.0
Name: 942, dtype: float64"
1,"0    1.0
Name: 252, dtype: float64"
2,"0    0.0
Name: 1108, dtype: float64"
3,1.0
4,"0    0.0
Name: 17, dtype: float64"
5,1.0
6,1.0
7,"0    0.0
Name: 497, dtype: float64"
8,1.0
9,"0    0.0
Name: 1483, dtype: float64"
10,"0    0.0
Name: 448, dtype: float64"
11,1.0
12,"0    0.0
Name: 1180, dtype: float64"
13,1.0
14,"0    0.0
Name: 301, dtype: float64"
15,"0    0.0
Name: 1012, dtype: float64"
16,"0    0.0
Name: 724, dtype: float64"
17,1.0
18,"0    0.0
Name: 647, dtype: float64"
19,"0    0.0
Name: 1152, dtype: float64"
20,"0    0.0
Name: 1459, dtype: float64"
21,"0    0.0
Name: 329, dtype: float64"
22,"0    0.0
Name: 1411, dtype: float64"
23,1.0
24,"0    0.0
Name: 185, dtype: float64"
25,"0    0.0
Name: 770, dtype: float64"
26,1.0
27,"0    0.0
Name: 1391, dtype: float64"
28,"0    0.0
Name: 1062, dtype: float64"
29,1.0
30,"0    0.0
Name: 1086, dtype: float64"
31,1.0
32,"0    0.0
Name: 41, dtype: float64"
33,"0    0.0
Name: 797, dtype: float64"
34,"0    0.0
Name: 914, dtype: float64"
35,1.0
36,"0    0.0
Name: 696, dtype: float64"
37,"0    0.0
Name: 1042, dtype: float64"
38,"0    0.0
Name: 675, dtype: float64"
39,1.0
40,"0    0.0
Name: 399, dtype: float64"
41,1.0
42,1.0
43,"0    0.0
Name: 1510, dtype: float64"
44,1.0
45,1.0
46,"0    0.0
Name: 847, dtype: float64"
47,1.0
48,1.0
49,"0    0.0
Name: 567, dtype: float64"
50,"0    0.0
Name: 379, dtype: float64"
51,1.0
52,1.0
53,"0    0.0
Name: 869, dtype: float64"
54,"0    0.0
Name: 1434, dtype: float64"
55,1.0
56,"0    0.0
Name: 1364, dtype: float64"
57,"0    0.0
Name: 208, dtype: float64"
58,"0    0.0
Name: 541, dtype: float64"
59,"0    0.0
Name: 964, dtype: float64"
60,"0    0.0
Name: 161, dtype: float64"
61,1.0
62,"0    0.0
Name: 746, dtype: float64"
63,"0    0.0
Name: 1530, dtype: float64"
64,1.0
65,"0    0.0
Name: 1336, dtype: float64"
66,"0    0.0
Name: 1313, dtype: float64"
67,1.0
68,"0    0.0
Name: 87, dtype: float64"
69,"0    0.0
Name: 1283, dtype: float64"
70,"0    0.0
Name: 276, dtype: float64"
71,"0    0.0
Name: 620, dtype: float64"
72,"0    0.0
Name: 1230, dtype: float64"
73,"0    0.0
Name: 109, dtype: float64"
74,1.0
75,"0    0.0
Name: 358, dtype: float64"
76,"0    0.0
Name: 229, dtype: float64"
77,1.0
78,1.0
79,"0    0.0
Name: 1255, dtype: float64"
80,"0    0.0
Name: 67, dtype: float64"
81,"0    0.0
Name: 518, dtype: float64"
82,"0    0.0
Name: 424, dtype: float64"
83,"0    0.0
Name: 825, dtype: float64"
84,1.0
85,"0    0.0
Name: 987, dtype: float64"
86,"0    0.0
Name: 890, dtype: float64"
87,"0    0.0
Name: 475, dtype: float64"
88,1.0
89,1.0
90,"0    0.0
Name: 1210, dtype: float64"
91,"0    0.0
Name: 597, dtype: float64"
92,"0    0.0
Name: 1130, dtype: float64"
93,"0    0.0
Name: 137, dtype: float64"
