,0
0,"0    0.0
Name: 1468, dtype: float64"
1,1.0
2,"0    1.0
Name: 855, dtype: float64"
3,"0    0.0
Name: 923, dtype: float64"
4,"0    0.0
Name: 166, dtype: float64"
5,1.0
6,1.0
7,1.0
8,"0    0.0
Name: 1236, dtype: float64"
9,1.0
10,"0    0.0
Name: 340, dtype: float64"
11,1.0
12,"0    0.0
Name: 998, dtype: float64"
13,1.0
14,1.0
15,"0    0.0
Name: 1189, dtype: float64"
16,"0    0.0
Name: 524, dtype: float64"
17,"0    0.0
Name: 553, dtype: float64"
18,"0    0.0
Name: 1209, dtype: float64"
19,1.0
20,"0    0.0
Name: 972, dtype: float64"
21,"0    0.0
Name: 947, dtype: float64"
22,1.0
23,"0    0.0
Name: 877, dtype: float64"
24,1.0
25,"0    0.0
Name: 1092, dtype: float64"
26,1.0
27,"0    0.0
Name: 188, dtype: float64"
28,1.0
29,"0    0.0
Name: 1263, dtype: float64"
30,"0    0.0
Name: 1314, dtype: float64"
31,1.0
32,"0    0.0
Name: 407, dtype: float64"
33,1.0
34,"0    0.0
Name: 482, dtype: float64"
35,"0    0.0
Name: 900, dtype: float64"
36,"0    0.0
Name: 1286, dtype: float64"
37,"0    0.0
Name: 1028, dtype: float64"
38,"0    0.0
Name: 213, dtype: float64"
39,"0    0.0
Name: 431, dtype: float64"
40,"0    0.0
Name: 312, dtype: float64"
41,"0    0.0
Name: 574, dtype: float64"
42,"0    0.0
Name: 834, dtype: float64"
43,1.0
44,"0    0.0
Name: 1166, dtype: float64"
45,1.0
46,"0    0.0
Name: 455, dtype: float64"
47,1.0
48,"0    0.0
Name: 289, dtype: float64"
49,"0    0.0
Name: 1425, dtype: float64"
50,1.0
51,"0    0.0
Name: 1070, dtype: float64"
52,"0    0.0
Name: 68, dtype: float64"
53,1.0
54,1.0
55,1.0
56,"0    0.0
Name: 504, dtype: float64"
57,"0    0.0
Name: 142, dtype: float64"
58,"0    0.0
Name: 1122, dtype: float64"
59,1.0
60,1.0
61,1.0
62,"0    0.0
Name: 1543, dtype: float64"
63,"0    0.0
Name: 730, dtype: float64"
64,"0    0.0
Name: 113, dtype: float64"
65,"0    0.0
Name: 805, dtype: float64"
66,1.0
67,"0    0.0
Name: 1447, dtype: float64"
68,"0    0.0
Name: 1405, dtype: float64"
69,"0    0.0
Name: 381, dtype: float64"
70,"0    0.0
Name: 1362, dtype: float64"
71,1.0
72,1.0
73,1.0
74,"0    0.0
Name: 1048, dtype: float64"
75,"0    0.0
Name: 1145, dtype: float64"
76,"0    0.0
Name: 651, dtype: float64"
77,"0    0.0
Name: 1522, dtype: float64"
78,"0    0.0
Name: 630, dtype: float64"
79,1.0
80,1.0
81,"0    0.0
Name: 360, dtype: float64"
82,"0    0.0
Name: 680, dtype: float64"
83,"0    0.0
Name: 601, dtype: float64"
84,"0    0.0
Name: 1496, dtype: float64"
85,1.0
86,"0    0.0
Name: 702, dtype: float64"
87,"0    0.0
Name: 91, dtype: float64"
88,"0    0.0
Name: 781, dtype: float64"
89,"0    0.0
Name: 1339, dtype: float64"
90,"0    0.0
Name: 237, dtype: float64"
91,1.0
92,1.0
93,1.0
94,"0    0.0
Name: 260, dtype: float64"
95,"0    0.0
Name: 1383, dtype: float64"
96,"0    0.0
Name: 42, dtype: float64"
97,1.0
98,"0    0.0
Name: 17, dtype: float64"
99,"0    0.0
Name: 754, dtype: float64"
